Country,Subject Descriptor,Units,Scale,2019,2020,2021,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",Percent change,,3.912,-2.351,n/a,2019
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,18.876,20.136,n/a,2019
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,586.204,611.268,n/a,2019
Afghanistan,"Inflation, average consumer prices",Percent change,,2.302,5.607,n/a,2020
Afghanistan,Volume of imports of goods and services,Percent change,,-7.473,-2.925,n/a,2019
Afghanistan,Volume of exports of goods and services,Percent change,,-3.838,0.534,n/a,2019
Afghanistan,Population,Persons,Millions,32.2,32.941,n/a,2019
Albania,"Gross domestic product, constant prices",Percent change,,2.174,-3.311,5.3,2020
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,15.283,14.828,16.77,2020
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,305.07","5,152.56","5,837.18",2020
Albania,"Inflation, average consumer prices",Percent change,,1.438,1.603,1.854,2020
Albania,Volume of imports of goods and services,Percent change,,4.716,-19.427,11.358,2020
Albania,Volume of exports of goods and services,Percent change,,1.675,-27.496,15.826,2020
Albania,Population,Persons,Millions,2.881,2.878,2.873,2020
Algeria,"Gross domestic product, constant prices",Percent change,,0.8,-4.9,3.41,2019
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,171.07,147.6,163.812,2019
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,939.54","3,337.32","3,638.33",2019
Algeria,"Inflation, average consumer prices",Percent change,,1.952,2.415,6.471,2020
Algeria,Volume of imports of goods and services,Percent change,,-9.66,-18.895,1.922,2020
Algeria,Volume of exports of goods and services,Percent change,,-2.954,-4.154,0.768,2020
Algeria,Population,Persons,Millions,43.424,44.227,45.024,2019
Andorra,"Gross domestic product, constant prices",Percent change,,2.017,-11.969,5.5,2020
Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,3.155,2.858,3.213,2020
Andorra,"Gross domestic product per capita, current prices",U.S. dollars,Units,"40,688.49","36,630.55","40,417.27",2020
Andorra,"Inflation, average consumer prices",Percent change,,0.742,0.257,1.698,2020
Andorra,Employment,Persons,Millions,0.045,0.045,0.045,2020
Andorra,Population,Persons,Millions,0.078,0.078,0.079,2020
Angola,"Gross domestic product, constant prices",Percent change,,-0.535,-5.385,-0.655,2020
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,84.516,58.376,70.339,2020
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,805.26","1,881.20","2,200.68",2017
Angola,"Inflation, average consumer prices",Percent change,,17.079,22.277,24.387,2020
Angola,Volume of imports of goods and services,Percent change,,-11.38,-33.224,22.05,2020
Angola,Volume of exports of goods and services,Percent change,,-5.925,-7.335,-0.261,2020
Angola,Population,Persons,Millions,30.128,31.031,31.962,2017
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,4.747,-20.031,0.965,2019
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,1.687,1.37,1.405,2019
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"17,451.55","13,967.33","14,117.84",2011
Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,1.431,1.058,1.584,2020
Antigua and Barbuda,Volume of imports of goods and services,Percent change,,2.028,-41.522,-5.214,2019
Antigua and Barbuda,Volume of exports of goods and services,Percent change,,14.149,-49.812,-2.95,2019
Antigua and Barbuda,Population,Persons,Millions,0.097,0.098,0.1,2011
Argentina,"Gross domestic product, constant prices",Percent change,,-2.088,-9.905,7.5,2020
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,451.815,389.064,455.172,2020
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"10,054.02","8,571.94","9,929.15",2019
Argentina,"Inflation, average consumer prices",Percent change,,53.548,42.015,n/a,2020
Argentina,Volume of imports of goods and services,Percent change,,-21.107,-10.722,23.228,2020
Argentina,Volume of exports of goods and services,Percent change,,12.155,-13.124,6.751,2020
Argentina,Population,Persons,Millions,44.939,45.388,45.842,2019
Armenia,"Gross domestic product, constant prices",Percent change,,7.631,-7.353,6.461,2020
