,Country,GDP,GDP(PPP),Inflation Rate,Import,Export,Unemployment rate,Employment,Population,Goverment Revenue,Goverment Expenditure
0,Afghanistan,1547290.0,0.061,5.607,-3.217,0.534,,,32.941,397564.0,432266.0
1,Albania,1647430.0,0.031,1.621,-19.547,-27.44,11.675,,2.878,425906.0,536280.0
2,Algeria,18476900.0,0.367,2.415,-18.987,-4.154,,,43.851,5640940.0,7839470.0
3,Andorra,2531.0,0.003,0.092,,,2.85,0.045,0.078,1045.0,1072.0
4,Angola,33040989.999999996,0.159,22.277,-32.735,-7.342,,,33.428,7052760.0,7690860.0
5,Antigua and Barbuda,3824.0,0.001,1.058,-34.705,-50.353,,,0.098,755.0,990.0
6,Argentina,27481440.0,0.707,42.015,-10.411,-12.933,11.55,,45.388,9198320.0,11558520.0
7,Armenia,6181900.0,0.03,1.226,-31.139,-35.051,18.2,,2.962,1560660.0,1894650.0
8,Aruba,4580.0,0.002,-1.313,,,8.6,,0.109,1100.0,1843.0
9,Australia,1971040.0,1.001,0.868,-12.843,-9.651,6.501,12.656,25.631,704799.0,877149.0
10,Austria,381043.0,0.369,1.386,-9.229,-10.652,5.475,4.297,8.901,185930.0,216367.0
11,Azerbaijan,72578.0,0.11,2.763,-9.256,-10.41,7.157,,10.067,24467.0,29139.0
12,The Bahamas,9755.0,0.008,0.039,-22.336,-67.03,26.218,,0.389,2082.0,2921.0
13,Bahrain,13018.0,0.056,-2.325,-0.702,-2.548,5.9,,1.472,2329.0,4661.0
14,Bangladesh,31704690.0,0.789,5.648,-2.724,-14.234,,,164.689,2684680.0,4219330.0
15,Barbados,9344.0,0.003,0.499,-11.043,-36.318,21.121,,0.288,2702.0,3132.0
16,Belarus,149721.0,0.143,5.536,-8.953,0.815,4.082,,9.41,52664.0,56962.0
17,Belgium,459827.0,0.449,0.431,-6.973,-6.494,5.575,4.981,11.522,229546.0,270922.0
18,Belize,4160.0,0.002,0.122,-23.0,-26.901,13.743,,0.421,1006.9999999999999,1357.0
19,Benin,9008810.0,0.032,3.049,0.125,5.405,,,12.643,1296300.0,1718070.0
20,Bhutan,175428.0,0.007,3.039,-11.626,-6.641,5.03,,0.745,54604.0,57989.0
21,Bolivia,253112.0,0.073,0.942,-26.705,-19.084,8.336,,11.63,63921.0,96122.0
22,Bosnia and Herzegovina,34728.0,0.039,-1.052,-13.127,-15.49,15.9,,3.487,14158.0,15761.0
23,Botswana,171042.0,0.027,1.89,4.952,-18.569,,,2.546,46263.0,65843.0
24,Brazil,7609600.0,2.38,3.212,-8.173,-1.334,13.775,,200.978,2895120.0,3798350.0
25,Brunei Darussalam,16564.0,0.022,1.94,-2.952,29.606,7.3,,0.442,2892.0,5505.0
26,Bulgaria,120553.0,0.124,1.219,-4.933,-10.285,5.207,,6.917,42028.0,45559.0
27,Burkina Faso,10322330.0,0.036,1.885,-2.323,-2.71,,,21.54,1975340.0,2504300.0
28,Burundi,5910570.0,0.007,7.305,-17.818,-15.366,,,11.875,1365760.0,1740310.0
29,Cabo Verde,180730.0,0.003,0.605,-17.489,-55.602,8.5,,0.557,44626.0,61052.0
30,Cambodia,105891750.0,0.055,2.938,-3.401,-1.154,,,15.678,25334070.0,28936860.0
31,Cameroon,23486470.0,0.077,2.451,-15.623,-6.972,,,26.546,3145320.0,3894110.0
32,Canada,2209680.0,1.398,0.717,-9.331,-8.85,9.725,18.047,37.977,923632.0,1164720.0
33,Central African Republic,1372730.0,0.004,0.881,4.492,-0.277,,,4.83,298587.0,344724.0
34,Chad,6182690.0,0.02,4.464,-2.357,2.813,,,16.426,1304270.0,1205090.0
35,Chile,201428900.0,0.339,3.043,-12.329,-1.038,10.77,,19.458,44263250.0,58541290.0
36,China,102562840.0,18.131,2.487,-0.975,2.09,5.2,,1412.12,26342870.0,36310050.0
37,Colombia,997741000.0,0.544,2.525,-19.901,-22.658,16.658,,50.372,265397479.99999997,334822120.0
38,Comoros,524947.0,0.002,0.8,1.738,-50.835,,,0.897,95807.0,98492.0
39,Democratic Republic of the Congo,90181050.0,0.079,11.358,-2.96,7.167,,,90.794,8594330.0,11541990.0
40,Republic of Congo,6601220.0,0.017,1.373,-10.116,-12.71,,,4.682,1320480.0,1393420.0
41,Costa Rica,36495250.0,0.078,0.725,-12.929,-10.633,19.98,,5.128,5077370.0,8135520.0
42,C?te d'Ivoire,36252000.0,0.108,2.415,14.673,-2.353,,,26.958,5423780.0,7389640.0
43,Croatia,50476.0,0.086,-0.03,-12.385,-23.246,9.0,1.523,4.048,23625.0,27313.0
44,Cyprus,21897.0,0.028,-1.098,3.22,2.214,7.575,0.417,0.888,8501.0,9768.0
45,Czech Republic,5709130.0,0.328,3.161,-8.196,-8.031,2.416,5.046,10.702,2366570.0,2695780.0
46,Denmark,2320910.0,0.256,0.333,-2.787,-6.105,5.625,2.859,5.823,1249970.0,1241150.0
47,Djibouti,566068.0,0.004,1.786,-29.363,-29.504,,,0.988,131058.0,144139.0
48,Dominica,1361.0,0.001,-0.727,-28.801,-54.84,,,0.073,845.0,955.0
49,Dominican Republic,4456660.0,0.146,3.781,-11.471,-31.625,5.829,,10.448,632252.0,984601.0
50,Ecuador,99291.0,0.144,-0.339,-14.859,1.088,5.346,,17.511,31503.0,38576.0
51,Egypt,6152600.0,1.02,5.7,0.133,-4.171,8.296,,100.6,1121420.0,1580940.0
52,El Salvador,24930.0,0.041,-0.37,-12.273,-24.416,6.9,,6.293,6110.0,8148.0
53,Equatorial Guinea,5694740.0,0.019,4.766,-10.829,23.432,,,1.406,819733.0,920589.0
54,Eritrea,,,,,,,,,,
55,Estonia,27430.0,0.038,-0.634,1.301,-5.454,6.806,0.657,1.33,10821.0,12323.0
56,Eswatini,65588.0,0.008,3.872,-1.334,-2.401,,,1.127,19289.0,22319.0
57,Ethiopia,3374350.0,0.212,20.354,-4.622,-8.058,,,99.7,394966.0,488243.0
58,Fiji,9613.0,0.008,-2.595,,,13.351,,0.9,2475.0,3322.0
59,Finland,238038.0,0.207,0.383,-6.157,-7.764,7.767,2.494,5.525,122844.0,136124.0
60,France,2317830.0,2.272,0.526,-12.649,-17.072,8.025,27.415,65.269,1213680.0,1421920.0
61,Gabon,8814840.0,0.025,1.703,-0.727,18.871,,,2.108,1552950.0,1746340.0
62,The Gambia,93330.0,0.004,5.931,2.814,-57.053,,,2.419,21446.0,23477.0
63,Georgia,49267.0,0.041,5.202,-17.073,-36.494,18.5,,3.717,12422.0,16981.0
64,Germany,3403730.0,3.427,0.371,-8.901,-10.032,3.625,41.201,83.161,1569890.0,1717580.0
65,Ghana,391941.0,0.134,9.885,-7.325,-6.37,,,30.779,55138.0,123504.0
66,Greece,165406.0,0.229,-1.262,-1.922,-22.873,16.325,3.875,10.719,81987.0,99332.0
67,Grenada,2817.0,0.001,-0.742,-11.851,-62.974,,,0.113,793.0,921.0
68,Guatemala,600089.0,0.112,3.214,-5.757,-7.526,,,17.916,64066.0,93529.0
69,Guinea,134759780.0,0.027,10.602,82.092,3.475,,,13.967,18859610.0,23085980.0
70,Guinea-Bissau,875167.0,0.003,1.463,-5.722,-13.785,,,1.815,134747.0,219092.0
71,Guyana,1140760.0,0.012,1.232,26.083,161.645,,,0.787,259666.99999999997,348484.0
72,Haiti,1449890.0,0.026,22.945,-5.313,-39.331,,,11.743,109079.0,145272.0
73,Honduras,585734.0,0.04,3.468,-8.771,-14.586,10.912,,9.942,136779.0,163096.0
